Genes log2FoldChange
SEMA5B 3.08347642912132
ITGB5 1.04754381800902
XPO1 1.13692994011836
LINC01587 2.14932298600931
TRPM3 2.10590232657273
PALB2 1.04445221963371
P2RX5 1.53644637439931
ITGAE 1.66363131125369
OXCT1 2.47809891454353
RRAGB 1.12920891231949
ZNF324 1.08650936332004
ZNF671 1.05015124743812
ZNF416 1.10353135590785
ZNF446 1.28658431631522
RPS5 1.42532282215216
FAT1 1.47828694862961
NOA1 1.15156109466232
COL16A1 1.36269584125072
AGBL5 1.12535903453028
EFR3B 1.53483164333566
KIF3C 1.52462982025196
RAB10 1.05387720135115
CAD 2.02819555771396
BCORL1 1.46573123966641
MECOM 1.97778510795976
HACE1 1.00664501372818
ZNF213 1.76429632501653
AKR1B1 1.34797700576321
CTTN 1.31761597836863
TTC39A 4.05814622612381
ORC1 3.71796379445347
RAD54L 2.79208763012312
MAST2 1.78747140365631
AQP6 3.47296270449429
NME8 1.16825594775437
EPDR1 1.25708070103601
FAT2 2.1282969807591
PPEF1 3.0664193984724
MYBPC2 3.51671465710024
NOX4 3.53248051234082
MTMR2 1.24583066501873
HSD17B14 1.15008583234674
ACHE 1.43806943761836
FTL 1.06357509442262
BAX 1.55510075469501
PIGS 1.20560471205922
ATXN7L3 1.45659722329988
PGS1 1.40427346040045
UIMC1 1.11652818968042
CETP -2.22588213599769
MMP2 1.47246082664952
MT3 1.97828368305785
LPCAT2 1.43200146179725
GNAO1 -1.60778773231901
DNM1L 1.16432172407502
PTHLH 2.85434937106932
PHACTR3 -1.26774346972855
TFAP2C 2.40757541773237
AURKA 3.43272462445508
PIR 1.58941521641514
METTL2A 1.04203460230414
SULT2B1 2.8886550724108
ALG6 1.14480631036644
CNOT3 1.28970992224827
c(\KHSRP\, \MIR3940\) 1.01146309246259
ASAP3 1.43197624081703
DNMT3B 2.52228341707474
REM1 1.23440166314626
TPX2 2.95759674057844
FER1L4 3.63824846716728
PDRG1 1.48544809457681
EPB41L1 1.72955920211887
DOCK3 3.22383523463884
C3orf18 1.3324861076296
TMEM40 2.56489787112931
ARHGAP28 2.09022330978804
SMOX 1.46360973342594
c(\FKBP1A\, \MIR6869\) 1.22431041580166
SLC4A11 3.81764210414764
ZNF343 1.11809695920542
CPXM1 3.01562218772417
MAVS 1.57327974024035
LZTS3 1.36565585158998
KIZ 1.50044868153515
DYNLL1 1.32731126475626
TESC 3.44455425242033
RPL6 1.11521418187619
SIRPG 1.2661565137566
DZANK1 1.2631018669185
CFAP61 3.86683049087874
GCN1 1.22103621141726
RPLP0 1.26731106283392
SIRT4 1.04120729313266
TRMT6 1.34127897158702
CHGB 5.67089555176159
FUS 1.3942512516117
IGBP1 1.17726431833778
ZNF302 1.06712945684697
GRAMD1A 2.16916039680931
c(\FXYD3\, \MIR6887\) 3.77200523992475
CMTM1 1.64537314312625
KCNH4 2.9591486341654
RBM41 1.03578233503574
BIRC5 4.83999122009289
OTUB2 2.19494538653126
ARHGAP4 1.57202673741497
SLC9A1 1.10174531927981
PCBP4 1.50736724692405
STRN4 1.29396674490495
LYZ 2.85033778307154
SI 7.71438751222982
TFAP4 1.34067252354569
DNAJB11 1.55138858297908
RAB11FIP3 1.05834655391849
GOLGA3 1.31972533780694
PDPR 1.19559067894484
KIF4A 4.74271764488197
PLEKHG2 1.863110054193
DLL3 5.37475007843722
NAT14 1.92819813798443
PITPNM2 1.01559870757364
DTX2 1.10227986286634
PUS7 1.38737858946306
LAMB4 3.8954695427306
NRCAM 3.12205432440894
LAMB1 1.47281580740849
SLC26A3 2.68039546284094
ITGA6 2.0702478364909
SMPX 3.93637784801655
SEL1L3 1.53900074290236
NLRP1 1.42605498176818
PITPNM3 -1.53224727609274
ORC6 3.50684543381347
CPA1 8.27806755086607
ESR1 -1.93588992046332
RGS17 2.28334147651802
ANGPT2 1.69575223024718
TMEM101 1.54837682566558
CD200 2.55161486941046
CCDC80 2.44211615277342
c(\HAUS4\, \MIR4707\) 1.16083636720076
SLC22A17 1.93727479616656
RNF31 1.19670241575234
SUPT16H 1.01723048477883
GEMIN2 1.06921665674362
TYRO3 2.48386121340492
WDR76 2.98681081735624
TBX15 -1.15710971689798
COL9A3 1.89660924853207
CLSPN 3.59276074079288
TGFB2 2.07379987440062
GPATCH2 1.18307636695495
CDC45 3.82159137625436
CDC6 4.01042347515326
CDC23 1.18481334515424
AAAS 1.06739509329488
c(\CBX5\, \MIR3198-2\) 1.25546976243415
SUCO 1.84420985411647
MSH2 2.04569501273252
TMEM38B 1.27710610007511
NUP188 1.14157899901145
SH2D3C 1.10399654412407
WHRN 2.15322145295351
PDE6C 1.63637185761287
TLL2 3.01593498037934
CYP26A1 -3.34516768425142
CRTAC1 3.89309574153164
BAMBI 1.25347879454754
IL11 4.74487080517295
TREM2 2.19035605546318
CRISP3 2.4856371135363
SRPK1 1.27820330949176
BRPF3 1.18166567252833
PGC 11.3319303028367
TMEM14A 1.15796614767237
EFHC1 1.31560208279957
HSP90AB1 1.66974909340255
ITPR3 2.39631414458025
ZNF184 1.2285157640829
ABL1 1.13853699052937
CDC7 2.8091406384642
PCSK5 1.57610644136211
ERMP1 1.38785810108097
HSD17B7P2 1.24755653380872
PRTFDC1 1.97519515812911
TSPAN15 2.0433222126462
H2AFY2 1.72424373834576
FAM21A 1.32017479483117
MAST3 1.60410581529217
MZF1 1.2102704460107
MYO9B 1.19064999160446
FBXL19 1.83220268916085
BCL7C 1.15292683591459
MAGEB2 11.0526164737941
PRKY 1.15935780060563
IGFALS -2.44085237856923
TIMM13 1.19500526924934
MISP 4.00716759655004
CEP170B 1.08098227576926
POLRMT 1.11641560024599
HCN2 3.7829425726391
RASSF7 1.3644605979385
GADD45B -1.35467638373987
PALM 1.32798777254076
MADCAM1 1.07893374540221
IGF2-AS -1.97877728052292
TRMT2A 1.13997502452586
KLHL22 1.07400993525581
MED15 1.14959427482172
LZTR1 1.18492975507254
MMP11 4.64268524275167
SMARCB1 1.17166438605285
DERL3 1.84246476404483
CABIN1 1.42166363250424
SUSD2 1.23770119297717
RNF215 1.42535038386303
PPIL2 1.06449413509475
YPEL1 1.06459423959184
PES1 1.09897026499645
PRODH 1.61356888476539
PPM1F 1.64113435867937
SLC35E4 1.91559748460116
TOP3B 1.42967240878459
DGCR14 1.1865053708334
CRYBB2P1 1.27172708350347
CARD10 1.06775499248535
LRP5L 1.22086043865565
GRK3 1.54608664084124
GGA1 1.15567937561566
SEZ6L 2.50587072798179
LGALS1 1.38992780946995
HPS4 1.25468343190854
PIK3IP1 1.22797135026873
NOL12 1.616060760743
SRRD 1.05384206101135
TRIOBP 1.21484669537125
TFIP11 1.04147556724587
CRYBB1 3.49868926397943
c(\ANKRD54\, \MIR658\) 1.18429897603086
SNU13 1.01113998826526
MICALL1 1.20294433154316
CCDC134 1.3237233006001
SLC16A8 2.09201450370079
CENPM 4.27334253166851
SEPT3 3.90056476764869
SLC5A4 1.9948319308246
KDELR3 1.66531401106061
DMC1 3.00840351449455
TCF20 1.1475916342901
RSPH14 3.62213597436927
POLDIP3 1.03539415016521
SBF1 1.71206332322366
DNAL4 1.18763010529299
MIOX 4.81087783508211
RHBDD3 1.28618853625814
PACSIN2 1.12417714234399
TTLL1 1.62736855257468
HMGXB4 1.06078178912616
NEFH 1.78932340652286
CHKB 1.37243002003714
BIK 2.57255604951278
MCM5 2.13636105604603
APOBEC3H 1.17581206751388
TSPO 1.15999654354137
RASD2 3.33196840368976
PDGFB 1.59403652662897
CABP7 1.27834146113002
ZMAT5 1.23305655848077
RBFOX2 1.05042969420119
SYNGR1 1.83550478230164
TAB1 1.02431863820571
CACNA1I 3.66174840131449
SAMM50 1.17361169683797
FOXRED2 1.43928651832706
EIF3D 1.19028856148718
SGSM3 1.1392651347182
IFT27 1.19918748232959
PVALB -2.88624691740984
UPK3A 6.51094688512178
FAM118A 1.56766569251438
KCTD17 2.36338267452509
CHADL 1.22025161095517
RANGAP1 1.12501950824235
PHF5A 1.00850930325678
TRMU 1.60321652996076
CERK 1.04991599602887
ZBED4 1.32619827281484
HDAC10 1.05850870704098
KCNK10 1.88808321543783
ABHD4 1.47225055999731
KHNYN 1.095186728945
SDR39U1 1.02498551029131
PRMT5 1.029102830841
COCH 3.37860763834264
POLE2 2.32889702311305
NIN 1.41374209785564
TRIM9 1.09615967041443
DDHD1 1.16349356261007
CDKN3 4.69205920217998
TIMM9 1.07609442659304
GSTZ1 -1.45496547085265
AHSA1 1.06618356972962
ISM2 5.74704828402797
CHGA 8.19138312433349
ITPK1 1.00822513691958
DHRS7 1.01839380313905
SIX4 4.13065139491479
CEP128 1.52729564806582
SLC8A3 1.32834288279107
TELO2 1.35483760002065
BDKRB1 3.28107605699784
VRK1 1.5992378748436
PAPLN 2.11434669034712
C14orf93 1.48808101740648
PSMB5 1.03133021993642
APEX1 1.05665077579059
DHRS2 2.09268704416917
CHD8 1.00163210309727
NFATC4 2.03363017583534
PLTP 1.02166945338421
MMP9 2.80812498218528
VSX1 2.94447560644271
PYGB 2.14279577170856
ABHD12 1.42072714343345
GINS1 3.53565121560063
NINL 1.00742015600141
ZMYND8 1.10416799932361
IFT52 1.54215143299237
MYBL2 5.35688004959551
R3HDML 1.61402369872346
NDRG3 1.73307099319534
SLA2 1.20715778742343
C20orf24 1.14694609000563
RIMS4 1.15168923206509
PABPC1L 2.39164459730165
SALL4 2.69134795843788
ADNP 1.13868128869487
PFDN4 1.3602559256238
DOK5 1.35121517987055
