Genes log2FoldChange
SLC12A3 3.28275736213323
RAD18 1.8484197719322
ATP2B1 1.0435403681062
TRPM5 3.91535361048513
NCK2 3.64210924568438
MAP4K4 1.93131758222372
MGAT4A 1.6902248769906
RPL31 1.76711392116852
WDR1 1.69675217749053
SNX13 1.28877998816825
RPS6KA2 1.72250706676629
ING3 1.06770110749343
VASH1 1.59084752877982
LMCD1 2.62715600418795
WBSCR22 1.46110319881778
TRIP13 5.69190766612859
ATP6AP1 2.04031847844612
TCF3 3.2112185150645
TRIB2 2.24986205911635
DAZAP1 1.65666686784552
MBD3 1.15068489058595
HLTF 1.07712435609102
FAM50A 2.25438439711391
c(\CPSF1\, \MIR939\, \MIR1234\, \MIR6849\) 1.80956262673117
MYO3B 4.12956380681239
PDCD2 1.18976043580622
ADGRL1 3.40705891352576
SPP2 -4.52601000887811
ACTN1 1.77288544600929
ZFYVE26 1.74156421317016
RPS6KA6 2.39858259165029
EPN2 1.95022597878631
PTPN18 1.54062656906763
ASIC4 3.65726398553024
c(\SPEG\, \LOC100996693\) 5.77242065515837
LNX1 1.6400813440205
TFRC 2.73879625527233
TRPC5 -2.99954877071695
UBE2D1 1.7036700721432
RHOBTB1 1.40583777921449
SMC1A 1.4530931528738
MARK2 2.59519826411587
HMMR 4.35430833476223
CHFR 1.7643555692302
P4HA2 2.78792345444269
STK10 1.85195525089182
FBXW11 1.96509456555172
ACAP1 2.52262243732424
CRMP1 4.19927251995407
EVC 3.28745013240898
DERL2 1.28081693112524
SIDT1 2.11972292562276
c(\NDE1\, \MIR484\) 2.23391251289093
MRVI1 2.56823105804274
PVR 1.07407254213413
XRCC1 2.34661105669486
SCARB1 -1.08573972884093
CYP2W1 5.52468967937418
MCM2 3.87320583756404
TP63 2.03507982704736
ALPK1 1.69714200616473
LLGL2 2.5898718355773
CLCN4 1.36183024745757
NLE1 2.46222402128487
SMARCE1 1.9066710675453
FNDC8 3.07885508478055
KDM5A 1.66257343604747
ADAM11 2.45600545537248
PPP2R3A 3.66907731647763
ABCB11 -4.34798963267846
CD5L -4.14855381793537
IGF2BP2 3.88043289838915
ST6GAL1 -1.44453656305396
PICALM 1.06297631037573
NSF 2.0046358206567
GLI2 2.75134475679792
CLASP1 1.6147399538818
MRPS34 1.41012563400237
NOTCH3 3.81907647344715
PPP2R2C 7.92971783819976
TEAD2 4.0847167071925
c(\EED\, \MIR6755\) 1.70271006720479
SNCB 8.59931169472341
TSG101 1.4629296604859
NCBP3 1.54612329025559
ATP2A3 2.79762926743446
CA12 2.49639894973374
NTN4 1.37895275355393
BCS1L 1.42724389941136
NUAK1 2.37377343066726
DPP8 1.95094444397082
SLC24A1 1.76226885504258
ZNF532 3.71844632365597
ZZEF1 1.74303900996347
ENO1 1.49474028233345
MYDGF 1.2461639598858
ANO8 2.06454121908124
TUBE1 -1.20382206234702
WSCD2 2.57545651383537
KCNQ2 3.83035333588796
TACR2 3.7220825520636
ACTR6 1.04232393595586
TIPIN 1.87134840070434
SRI 2.31874305711037
EIF4G3 1.38382626813809
NUP37 2.15094758645286
SEMA3A 4.22127594695281
GTSE1 5.37274615927913
SEMA3C 5.32012578903271
TTC38 -1.07922682527605
ACAT1 -2.18962236711884
GRAMD4 1.41627147015532
CELSR1 3.16640615384502
ZNF638 1.11926870581964
SLC25A40 1.49542102756226
ADD2 3.20845314229617
FGF4 12.6020260836362
RASAL2 3.77373500476588
